Y,X,Name
85.590665,50.274432,37
85.590675,50.274466,40
85.59075,50.2745,43
85.590816,50.274492,46
85.590896,50.274472,49
85.590947,50.274426,53
85.591016,50.274417,61
85.59108,50.274416,64
85.591143,50.274417,67
85.591245,50.274421,75
85.591319,50.27442,78
85.591417,50.274415,84
85.591545,50.274414,88
85.591645,50.274415,95
85.591726,50.274418,104
85.591722,50.274506,110
85.591816,50.274509,116
85.591891,50.274506,124
85.591967,50.274514,130
85.592027,50.274508,135
85.59208,50.274479,139
85.592111,50.274455,142
85.592129,50.274423,149
85.592182,50.274398,156
85.59227,50.274409,161
85.592347,50.274402,166
85.592424,50.274402,169
85.592488,50.274375,176
85.592595,50.27438,181
85.592612,50.274412,183
85.592664,50.274398,185
85.592642,50.274365,188
85.592669,50.274331,194
85.592739,50.274312,200
85.592718,50.274311,202
85.592725,50.274288,204
85.592776,50.274312,207
85.592786,50.274345,209
85.592781,50.274375,211
85.592808,50.274392,214
85.592814,50.274432,217
85.592806,50.274462,220
85.592791,50.274513,225
85.592831,50.274522,229
85.592884,50.274444,231
85.592873,50.27442,233
85.592874,50.274397,235
85.592862,50.274357,239
85.592855,50.274297,245
85.592859,50.274263,251
85.592862,50.274246,253
85.592861,50.274198,258
85.592852,50.274153,260
85.592823,50.274073,270
85.592807,50.274034,274
85.592791,50.273981,79
85.592761,50.273964,281
85.592723,50.273965,382
